emp_no,first_name,last_name,title,salary,to_date
10396,Sibyl,Rahier,Senior Engineer,40393,9999-01-01
10402,Volkmar,Ebeling,Technique Leader,40000,9999-01-01
10404,Prodip,Rosti,Senior Engineer,51647,9999-01-01
10426,Arunas,Luce,Technique Leader,65757,9999-01-01
10429,Martien,Improta,Senior Engineer,40000,9999-01-01
10432,Hisao,Tiemann,Senior Staff,40000,9999-01-01
10451,Bodh,Ranta,Senior Engineer,46275,9999-01-01
10453,Tsvetan,Matzel,Senior Staff,40000,9999-01-01
10463,Ung,Zaiane,Staff,66480,9999-01-01
10486,Amstein,Kossowski,Senior Engineer,71692,9999-01-01
10494,Yakkov,Servieres,Senior Engineer,50094,9999-01-01
10504,Xiong,Varker,Staff,43931,9999-01-01
10512,Udi,Gihr,Senior Staff,40000,9999-01-01
10522,Marke,Cesareni,Senior Staff,40000,9999-01-01
10548,Ramalingam,Gunderson,Senior Staff,90631,9999-01-01
10564,Jianhao,Thisen,Senior Engineer,46660,9999-01-01
10623,Aleksander,Danlos,Senior Engineer,60268,9999-01-01
10628,Krisda,Krogh,Senior Engineer,41650,9999-01-01
10631,Inderjeet,Chaudhuri,Engineer,40000,9999-01-01
10642,Hirochika,Narlikar,Engineer,40000,9999-01-01
10653,Otmar,Feinberg,Senior Engineer,40000,9999-01-01
10671,Parviz,Rebaine,Senior Staff,74037,9999-01-01
10676,Valeri,Danley,Engineer,58226,9999-01-01
10693,Berhard,Daescu,Senior Staff,40000,9999-01-01
10702,Bader,Szemeredi,Senior Engineer,46581,9999-01-01
10718,Adib,Rullman,Senior Engineer,75473,9999-01-01
10726,Zita,Minakawa,Senior Engineer,46315,9999-01-01
10734,Sachar,Erdi,Engineer,47377,9999-01-01
10745,Poorav,Ranze,Senior Engineer,40000,9999-01-01
10749,King,Brendel,Senior Engineer,60829,9999-01-01
10767,Monique,Doering,Staff,40651,9999-01-01
10768,Ishfaq,Candan,Senior Engineer,65717,9999-01-01
10778,Selwyn,Merey,Senior Staff,64996,9999-01-01
10791,Tadahiko,Sgarro,Senior Engineer,40000,9999-01-01
10795,Supot,Naudin,Senior Staff,84206,9999-01-01
10808,Chenxi,Leijenhorst,Senior Engineer,40000,9999-01-01
10835,Tomoyuki,Kermarrec,Engineer,40000,9999-01-01
10836,Jianhua,Leivant,Senior Staff,65502,9999-01-01
10844,Dipayan,Koprowski,Engineer,40000,9999-01-01
10847,Theirry,Danley,Senior Staff,40000,9999-01-01
10848,Fen,Bratsberg,Senior Engineer,50475,9999-01-01
10878,Lakshmi,Deville,Staff,72102,9999-01-01
10879,Muzhong,Chleq,Senior Engineer,65651,9999-01-01
10883,Shimshon,Champarnaud,Engineer,40000,9999-01-01
10909,Georgi,Atchley,Senior Engineer,80935,9999-01-01
10921,Mara,Bahi,Senior Engineer,72601,9999-01-01
10924,Hironoby,Atchley,Senior Staff,84783,9999-01-01
10927,Gal,Scallan,Senior Staff,51819,9999-01-01
10936,Mountaz,Schicker,Senior Staff,40000,9999-01-01
10943,Berna,Skafidas,Senior Engineer,45890,9999-01-01
10965,Eckart,Braunschweig,Senior Staff,61654,9999-01-01
10969,Premal,Noriega,Senior Engineer,40000,9999-01-01
10974,Muneo,Papsdorf,Senior Engineer,56005,9999-01-01
10986,Masako,Schiper,Technique Leader,43900,9999-01-01
10988,Chinya,Deyuan,Senior Engineer,54174,9999-01-01
10989,Sumali,Candan,Senior Staff,46406,9999-01-01
10990,Shin,Foote,Technique Leader,40000,9999-01-01
11009,Alper,Axelband,Senior Staff,75111,9999-01-01
11012,Taegyun,Speckmann,Staff,72092,9999-01-01
11019,Leon,Huttel,Senior Engineer,69387,9999-01-01
11021,Srinidhi,Henders,Staff,62670,9999-01-01
11027,Remzi,Cappello,Senior Engineer,40000,9999-01-01
11031,Ottavia,Walstra,Senior Staff,71654,9999-01-01
11037,Lansing,Maliniak,Senior Engineer,40000,9999-01-01
11038,Jinya,Beidas,Senior Staff,44993,9999-01-01
11042,Gou,Breugel,Senior Engineer,40000,9999-01-01
11048,Jaques,Demke,Senior Staff,65697,9999-01-01
11050,Elvis,Katiyar,Senior Staff,52251,9999-01-01
11051,Przemyslawa,Erol,Senior Engineer,40000,9999-01-01
11070,Adib,Raney,Senior Engineer,40000,9999-01-01
11081,Barry,Boyle,Senior Staff,65686,9999-01-01
11085,Hailing,Thummel,Senior Engineer,66437,9999-01-01
11100,Berna,Cochrane,Senior Staff,40000,9999-01-01
11106,Aris,Iwayama,Senior Engineer,71446,9999-01-01
11112,Boaz,Mukaidono,Staff,40000,9999-01-01
11113,Shahab,Peng,Senior Staff,66401,9999-01-01
11121,Vugranam,Kakkad,Senior Engineer,40000,9999-01-01
11133,Nalini,Azulay,Technique Leader,40000,9999-01-01
11134,Sachar,Rajcani,Senior Engineer,58731,9999-01-01
11137,Hugh,Luca,Engineer,40000,9999-01-01
11139,Bogdan,Homond,Senior Staff,63596,9999-01-01
11146,Ishfaq,Masand,Senior Staff,96019,9999-01-01
11148,Zhanqiu,Botman,Senior Staff,56344,9999-01-01
11162,Kauko,Narlikar,Senior Engineer,69873,9999-01-01
11180,Mitsuyuki,Bojadziev,Senior Engineer,40000,9999-01-01
11197,Tadahiro,Fordan,Senior Staff,88741,9999-01-01
11204,Diederik,Covnot,Technique Leader,40000,9999-01-01
11207,Saeed,Gips,Engineer,49728,9999-01-01
11208,Saniya,Valtorta,Technique Leader,83660,9999-01-01
11211,Yurij,Rissland,Senior Engineer,72668,9999-01-01
11217,Kellie,Mawatari,Senior Engineer,40000,9999-01-01
11232,Hidefumi,Crelier,Senior Staff,43863,9999-01-01
11240,Kiam,Condotta,Engineer,61739,9999-01-01
11249,Randi,Cyre,Engineer,43324,9999-01-01
11251,Bezalel,Chinal,Senior Staff,69432,9999-01-01
11268,Aimee,Petersohn,Senior Engineer,40000,9999-01-01
11275,Hitomi,Eppinger,Senior Engineer,58382,9999-01-01
11290,Visit,Dredge,Engineer,65034,9999-01-01
11295,Abdelkader,Lanzelotte,Senior Staff,66622,9999-01-01
11319,Pranas,Marrakchi,Assistant Engineer,40000,9999-01-01
11320,Atilio,McAlpine,Senior Staff,45118,9999-01-01
11322,Nathalie,Pocchiola,Senior Engineer,43021,9999-01-01
11324,Kauko,Billingsley,Senior Engineer,54288,9999-01-01
11338,Kwangsub,Hanratty,Senior Staff,82210,9999-01-01
11339,Flemming,Massonet,Senior Engineer,40000,9999-01-01
11347,Anneli,Jonsson,Senior Engineer,41524,9999-01-01
11365,Toshimi,Shinomoto,Engineer,56463,9999-01-01
11376,Valery,Suomi,Senior Staff,46964,9999-01-01
11380,Kenroku,Pelc,Senior Engineer,53345,9999-01-01
11385,Shiv,Ullian,Engineer,40000,9999-01-01
11386,Alselm,Assaf,Senior Engineer,47726,9999-01-01
11393,Junsik,Junot,Senior Engineer,40000,9999-01-01
11398,Oscar,Peir,Senior Staff,44625,9999-01-01
11404,Bedrich,Borovoy,Technique Leader,42907,9999-01-01
11415,Sanjiv,Anido,Engineer,40000,9999-01-01
11421,Josyula,Msuda,Senior Engineer,52416,9999-01-01
11441,Marlo,Aingworth,Senior Staff,67352,9999-01-01
11449,Kotesh,Asser,Senior Engineer,61434,9999-01-01
11459,Duke,Suomi,Senior Staff,40000,9999-01-01
11469,Guttorm,Giaccio,Senior Engineer,44625,9999-01-01
11506,Rance,Picel,Staff,89747,9999-01-01
11509,Aleksander,Feldhoffer,Senior Engineer,40000,9999-01-01
11513,Otmar,Mahnke,Senior Staff,82525,9999-01-01
11515,Ulf,Basawa,Staff,70182,9999-01-01
11518,Jinxi,Oxman,Senior Staff,40000,9999-01-01
11524,Xiadong,Standera,Senior Engineer,41081,9999-01-01
11527,Alagu,Boyle,Staff,60212,9999-01-01
11528,Zito,Dolinsky,Technique Leader,44026,9999-01-01
11537,DAIDA,Pehl,Senior Staff,96023,9999-01-01
11554,Subhash,Taubenfeld,Staff,46065,9999-01-01
11555,Kotesh,Perfilyeva,Senior Staff,40000,9999-01-01
11567,Teiji,Mitzlaff,Senior Staff,86261,9999-01-01
11568,Martins,Fujisaki,Senior Engineer,54673,9999-01-01
11603,Herb,Swen,Senior Staff,69180,9999-01-01
11607,Tomokazu,Foong,Engineer,49584,9999-01-01
11615,Shem,Isaak,Senior Staff,46591,9999-01-01
11624,Adil,Gammage,Senior Engineer,42001,9999-01-01
11628,Fan,Malinowski,Senior Engineer,43966,9999-01-01
11640,Valeri,Coorg,Senior Engineer,52520,9999-01-01
11647,Magy,Nitsche,Senior Engineer,40000,9999-01-01
11660,Gill,Stenning,Senior Staff,65758,9999-01-01
11673,Henk,Felder,Technique Leader,40000,9999-01-01
11676,Valeri,Ferriere,Engineer,43310,9999-01-01
11681,Fumitake,Benzmuller,Senior Engineer,40000,9999-01-01
11684,Oksana,Gide,Senior Staff,68753,9999-01-01
11696,Dante,Rothe,Senior Staff,51633,9999-01-01
11732,Sanjoy,Ranft,Senior Engineer,40000,9999-01-01
11735,Amalendu,Picci,Senior Staff,40000,9999-01-01
11746,Koichi,Marrakchi,Senior Staff,55951,9999-01-01
11751,Jiafu,Emiris,Senior Staff,40000,9999-01-01
11764,Sanjay,Anick,Senior Engineer,64875,9999-01-01
11769,Chandrasekaran,Lampe,Senior Staff,40000,9999-01-01
11772,Gaurav,Penz,Engineer,61295,9999-01-01
11797,Chenxi,Thambidurai,Senior Staff,88050,9999-01-01
11810,Amabile,Bhattacharjee,Senior Engineer,41256,9999-01-01
11817,Niranjan,Markovitch,Senior Staff,50638,9999-01-01
11832,Arto,Zlotek,Engineer,40000,9999-01-01
11844,Shawna,Demeyer,Senior Engineer,78049,9999-01-01
11853,Zeljko,Kusakabe,Senior Staff,61941,9999-01-01
11857,Divier,Farrag,Senior Staff,94805,9999-01-01
11864,Pradeep,Kriebel,Staff,52517,9999-01-01
11871,Nalini,Sommen,Senior Engineer,67424,9999-01-01
11872,Cheong,Riexinger,Senior Staff,43159,9999-01-01
11894,Mitchel,Validov,Senior Engineer,56198,9999-01-01
11897,Cordelia,Setlzner,Senior Staff,80049,9999-01-01
11906,Hideo,Boguraev,Engineer,81324,9999-01-01
11915,Miomir,Mawatari,Senior Engineer,58042,9999-01-01
11931,Gunilla,Chiodo,Senior Staff,73369,9999-01-01
11933,Basil,Erman,Senior Engineer,56130,9999-01-01
11949,Martijn,Harbusch,Technique Leader,40000,9999-01-01
11983,Jaana,Hedayat,Senior Engineer,40000,9999-01-01
11993,Marit,Dalphin,Senior Staff,56505,9999-01-01
12011,Zhilian,Coorg,Senior Staff,85833,9999-01-01
12036,Mads,Ratzlaff,Senior Staff,67143,9999-01-01
12037,Arunas,Katzenelson,Senior Staff,47805,9999-01-01
12050,Yuchang,Tchuente,Engineer,46704,9999-01-01
12062,Margareta,Worfolk,Senior Staff,44199,9999-01-01
12069,Ayonca,Burnard,Senior Engineer,51928,9999-01-01
12070,Ger,Shokrollahi,Technique Leader,50233,9999-01-01
12076,Karlis,Siprelle,Senior Staff,75381,9999-01-01
12082,Xinan,Yamaashi,Senior Staff,72118,9999-01-01
12089,Bilhanan,Socorro,Senior Staff,46288,9999-01-01
12099,Nobuyoshi,Kuzuoka,Senior Staff,104610,9999-01-01
12112,Satyanarayana,Avouris,Senior Staff,76538,9999-01-01
12122,Satoru,Krone,Senior Engineer,46398,9999-01-01
12123,Xiahua,Syrzycki,Senior Staff,64879,9999-01-01
12125,Shounak,Erman,Engineer,41215,9999-01-01
12149,Suebskul,Grandbois,Senior Staff,109934,9999-01-01
12159,Shem,Perly,Senior Engineer,61210,9999-01-01
12165,Xiaobin,Maquelin,Senior Engineer,41951,9999-01-01
12183,Harngdar,Iisaku,Engineer,40000,9999-01-01
12192,Feiyu,Klyachko,Senior Engineer,41625,9999-01-01
12205,Sushant,Rossi,Senior Engineer,40000,9999-01-01
12206,Barton,Janetzko,Senior Engineer,40000,9999-01-01
12218,Yaghout,Strooper,Senior Engineer,40000,9999-01-01
12221,Vincent,Melter,Senior Engineer,56736,9999-01-01
12222,Abdelwaheb,Holburn,Senior Staff,55840,9999-01-01
12223,Niteen,Koyama,Senior Engineer,54459,9999-01-01
12247,Subbu,Penttonen,Technique Leader,59183,9999-01-01
12249,Eldridge,Sadowski,Senior Engineer,70099,9999-01-01
12256,Guadalupe,Reghbati,Senior Staff,40000,9999-01-01
12264,Mart,Pagter,Engineer,51816,9999-01-01
12270,Shakhar,Kornyak,Senior Staff,52840,9999-01-01
12272,Behnaam,Grandbois,Senior Staff,43811,9999-01-01
12308,Mototsugu,Cronau,Senior Staff,58741,9999-01-01
12311,Susanne,Lubachevsky,Senior Engineer,40000,9999-01-01
12327,DAIDA,Bruckman,Senior Engineer,67449,9999-01-01
12341,Rasiah,Luga,Senior Engineer,40000,9999-01-01
12343,Sorina,Slaats,Senior Staff,52134,9999-01-01
12365,Kamakshi,Bisiani,Senior Engineer,40000,9999-01-01
12373,Mooi,Driscoll,Senior Staff,75986,9999-01-01
12395,Sanjit,Felder,Senior Staff,66909,9999-01-01
12399,Mihalis,Luga,Senior Staff,85582,9999-01-01
12411,Shao,Ibel,Senior Staff,97610,9999-01-01
12413,Hugh,Gadepally,Senior Engineer,53179,9999-01-01
12417,Dannz,Spelt,Senior Engineer,67342,9999-01-01
12422,Berhard,Demos,Senior Staff,71376,9999-01-01
12454,Kerryn,Farris,Staff,41347,9999-01-01
12464,Shai,Milicic,Staff,50448,9999-01-01
12475,Filipe,Roison,Senior Engineer,40000,9999-01-01
12487,Mona,Reghbati,Senior Staff,40000,9999-01-01
12489,Arnould,Munck,Senior Engineer,63306,9999-01-01
12490,Jackson,Muchinsky,Senior Engineer,40000,9999-01-01
12497,Stein,Penz,Senior Staff,81191,9999-01-01
12501,Morrie,Matheson,Senior Staff,76082,9999-01-01
12504,Adly,Rosaz,Engineer,40000,9999-01-01
12514,Tomofumi,Melter,Engineer,54241,9999-01-01
12528,Conor,Cincotta,Senior Staff,40000,9999-01-01
12534,Yongmao,Gerlach,Senior Engineer,66715,9999-01-01
12541,Shih,Nanard,Senior Staff,93105,9999-01-01
12542,Kazuhide,Bouloucos,Senior Staff,44176,9999-01-01
12551,Jeane,Tzvieli,Senior Engineer,40000,9999-01-01
12553,Aral,Vesna,Senior Staff,40000,9999-01-01
12557,Stafford,Kopetz,Senior Engineer,41840,9999-01-01
12589,Anoosh,Chleq,Senior Engineer,59441,9999-01-01
12596,Breannda,Roisin,Senior Staff,40000,9999-01-01
12601,Ghassan,Simkin,Senior Engineer,41714,9999-01-01
12608,Nectarios,Mondadori,Senior Staff,40000,9999-01-01
12635,Xinyu,Restivo,Senior Engineer,40000,9999-01-01
12638,Yuqun,Seiwald,Engineer,56677,9999-01-01
12642,Suebskul,Gips,Senior Staff,68271,9999-01-01
12651,Pragnesh,Bael,Senior Staff,75150,9999-01-01
12662,Leucio,Alvarado,Engineer,69016,9999-01-01
12663,Nobuyoshi,Stellhorn,Technique Leader,49966,9999-01-01
12664,Zhonghua,Parveen,Staff,40000,9999-01-01
12689,Luerbio,Boudaillier,Senior Engineer,59689,9999-01-01
12691,Oddvar,Gils,Senior Engineer,48493,9999-01-01
12697,Uri,Brizzi,Senior Staff,40000,9999-01-01
12709,Ronghao,Botman,Senior Engineer,45510,9999-01-01
12717,Tzu,Jiafu,Staff,53194,9999-01-01
12722,Elliott,Cheshire,Senior Staff,62325,9999-01-01
12726,Fumitake,Panwar,Senior Engineer,61177,9999-01-01
12729,Nahla,Rahier,Senior Engineer,51796,9999-01-01
12731,Yongmao,Waymire,Senior Staff,40000,9999-01-01
12732,Mara,Takanami,Senior Staff,74436,9999-01-01
12734,Gil,Frijda,Senior Engineer,40000,9999-01-01
12755,Rildo,Rodite,Senior Staff,40196,9999-01-01
12773,Jenwei,Lovengreen,Senior Engineer,65556,9999-01-01
12790,Gunilla,Perl,Senior Staff,87760,9999-01-01
12795,Masoud,Fordan,Senior Staff,56969,9999-01-01
12798,Lillian,Beeson,Senior Staff,81145,9999-01-01
12803,Gad,Boissier,Senior Staff,91789,9999-01-01
12815,Sushant,Junot,Senior Staff,65073,9999-01-01
12819,Mountaz,Gubsky,Senior Engineer,48455,9999-01-01
12848,Kazuhide,Smeets,Engineer,40000,9999-01-01
12863,Leif,Matheson,Senior Engineer,62803,9999-01-01
12872,Marl,Schmittgen,Senior Staff,56040,9999-01-01
12879,Baruch,Eugenio,Senior Engineer,40000,9999-01-01
12890,Neven,Casley,Senior Staff,66803,9999-01-01
12893,Licheng,Crouzet,Senior Staff,50803,9999-01-01
12895,Roddy,Serot,Senior Engineer,40000,9999-01-01
12905,Munehiro,Gecsei,Senior Engineer,58659,9999-01-01
12926,Heekeun,Luby,Senior Staff,68314,9999-01-01
12940,Odinaldo,Farrar,Senior Engineer,49760,9999-01-01
12941,Tommaso,Perelgut,Senior Engineer,67069,9999-01-01
12949,Geoff,Asrin,Senior Engineer,40000,9999-01-01
12977,Byong,Markovitch,Senior Engineer,61326,9999-01-01
12983,Elliott,Hambrick,Staff,57252,9999-01-01
13030,Yahiko,Kroll,Senior Staff,51770,9999-01-01
13046,Vivian,Stafford,Senior Staff,40000,9999-01-01
13047,Atilio,Chelton,Senior Engineer,52323,9999-01-01
13075,Rosella,Morrin,Senior Staff,40000,9999-01-01
13076,Deniz,Skafidas,Engineer,50582,9999-01-01
13096,Ibibia,Armand,Senior Engineer,52544,9999-01-01
13103,Srinidhi,Ellozy,Senior Engineer,40000,9999-01-01
13124,Quingbo,Garnick,Senior Staff,73785,9999-01-01
13133,Guther,Senzako,Senior Staff,67777,9999-01-01
13134,Lorien,Chepyzhov,Senior Engineer,51227,9999-01-01
13144,Persi,Nollmann,Senior Staff,52825,9999-01-01
13146,Haldon,Erie,Senior Staff,61398,9999-01-01
13147,Shichao,Ginesta,Senior Staff,77429,9999-01-01
13156,Akeel,Millington,Senior Engineer,48285,9999-01-01
13165,Lucian,Benner,Senior Engineer,42796,9999-01-01
13168,Munir,Stentiford,Senior Engineer,49210,9999-01-01
13170,Cheong,Bernardeschi,Senior Staff,49012,9999-01-01
13171,Anoosh,Birnbaum,Senior Engineer,40000,9999-01-01
13173,Arve,Horswill,Senior Staff,46354,9999-01-01
13179,Moty,Janocha,Staff,90233,9999-01-01
13182,Kokou,Rodite,Engineer,46832,9999-01-01
13186,Kyoichi,Barbanera,Senior Staff,93138,9999-01-01
13192,Rosita,Flowers,Technique Leader,43986,9999-01-01
13202,Aram,Scharstein,Senior Staff,51915,9999-01-01
13210,Jianhua,Klassen,Senior Staff,83961,9999-01-01
13213,Hein,Billawala,Senior Staff,61131,9999-01-01
13232,Mitchel,Fujisaki,Technique Leader,40000,9999-01-01
13233,Alselm,Chvatal,Senior Engineer,49414,9999-01-01
13238,Ebru,Foote,Senior Staff,40000,9999-01-01
13240,King,Pileggi,Senior Engineer,49018,9999-01-01
13250,Zeydy,Schusler,Senior Engineer,47829,9999-01-01
13272,Arun,Jiang,Senior Staff,40000,9999-01-01
13276,Yechiam,Seuren,Senior Staff,65836,9999-01-01
13288,Muneo,Broomell,Senior Staff,40000,9999-01-01
13291,Georg,Stamatiou,Senior Engineer,54720,9999-01-01
13302,Mack,Alencar,Senior Engineer,40000,9999-01-01
13315,Sakthirel,Stroustrup,Senior Engineer,40000,9999-01-01
13332,Nidapan,Pearson,Senior Engineer,40000,9999-01-01
13333,Yoshinari,Hennebert,Engineer,50997,9999-01-01
13341,Bodh,Doering,Senior Staff,40000,9999-01-01
13343,Heon,Usery,Senior Staff,40000,9999-01-01
13368,Kiyokazu,Klassen,Staff,52872,9999-01-01
13371,Nakhoon,Riexinger,Senior Engineer,40000,9999-01-01
13373,Juichirou,Naumovich,Senior Staff,82749,9999-01-01
13385,Claudi,Buchter,Senior Staff,40000,9999-01-01
13386,Khosrow,Sgarro,Technique Leader,91420,9999-01-01
13389,Divine,Cmelik,Senior Staff,40000,9999-01-01
13392,Fumitake,Beidas,Senior Staff,69221,9999-01-01
13396,Chuanyi,Aumann,Senior Staff,40000,9999-01-01
13402,Augustine,Dulli,Engineer,40000,9999-01-01
13405,Randy,Baba,Senior Staff,60799,9999-01-01
13407,Gio,Chenoweth,Senior Engineer,60348,9999-01-01
13408,Sreekrishna,Lagarias,Senior Engineer,52479,9999-01-01
13415,Nathalie,Speer,Technique Leader,61838,9999-01-01
13422,Vishwani,Gerlach,Senior Engineer,59466,9999-01-01
13442,Giordano,Miake,Senior Staff,40000,9999-01-01
13443,Mayuko,Puppo,Senior Engineer,40000,9999-01-01
13445,Renee,Dehkordi,Engineer,53194,9999-01-01
13451,Gretta,Weiland,Senior Staff,40000,9999-01-01
13457,Shooichi,Parfitt,Senior Engineer,40812,9999-01-01
13458,Feipei,Nivat,Senior Engineer,41375,9999-01-01
13463,Theron,Berstel,Senior Engineer,40000,9999-01-01
13465,Sasan,Rehfuss,Engineer,49821,9999-01-01
13493,Uinam,Jullig,Senior Engineer,40000,9999-01-01
13504,Parto,Mandell,Engineer,41895,9999-01-01
13524,Chaoyi,Porotnikoff,Senior Staff,52849,9999-01-01
13535,Arunas,Schlenzig,Senior Engineer,40000,9999-01-01
13546,Aimee,Brookner,Senior Engineer,50295,9999-01-01
13549,Matk,Koprowski,Technique Leader,40000,9999-01-01
13552,Ingmar,Capobianchi,Senior Staff,73346,9999-01-01
13576,Jungsoon,Engberts,Senior Staff,73022,9999-01-01
13605,Dmitry,Encarnacion,Senior Staff,70404,9999-01-01
13621,Fei,Haddadi,Engineer,73192,9999-01-01
13624,Zhigen,Yurek,Senior Staff,40000,9999-01-01
13629,Dzung,Trelles,Senior Engineer,40000,9999-01-01
13648,Zejun,Lamba,Technique Leader,47723,9999-01-01
13653,Kristen,Iivonen,Senior Staff,53242,9999-01-01
13670,Moti,Takanami,Senior Engineer,40000,9999-01-01
13680,Denny,Speer,Staff,46968,9999-01-01
13685,Weicheng,Hockney,Senior Engineer,48322,9999-01-01
13697,Shuichi,Weedon,Technique Leader,40000,9999-01-01
13704,Vishu,Kumaresan,Senior Engineer,40000,9999-01-01
13721,Sugwoo,Delgrossi,Senior Staff,64754,9999-01-01
13727,Vitali,Merey,Staff,50798,9999-01-01
13738,Bangqing,Mitchem,Engineer,48349,9999-01-01
13766,Tremaine,Heemskerk,Senior Staff,43748,9999-01-01
13769,Yakichi,Trogemann,Senior Staff,61025,9999-01-01
13775,Arve,Maierhofer,Senior Staff,70161,9999-01-01
13786,Takushi,Berendt,Senior Staff,74494,9999-01-01
13787,Xiaobin,Sinicrope,Senior Engineer,40000,9999-01-01
13792,Valery,Sury,Senior Staff,59127,9999-01-01
13796,Paloma,Thorelli,Engineer,50962,9999-01-01
13809,Kiyotoshi,Basagni,Senior Staff,43735,9999-01-01
13815,Guadalupe,Plotkin,Senior Engineer,40000,9999-01-01
13825,Arlette,Pell,Technique Leader,54704,9999-01-01
13841,Christophe,Spinelli,Technique Leader,52277,9999-01-01
13842,Juichirou,Cichocki,Senior Staff,40000,9999-01-01
13846,Guiseppe,Welham,Senior Staff,61097,9999-01-01
13853,Mingsen,Roohalamini,Senior Staff,61615,9999-01-01
13859,Anoosh,Fujisawa,Senior Engineer,40000,9999-01-01
13884,Kensei,Swift,Engineer,44785,9999-01-01
13894,Ult,Schonegge,Engineer,48958,9999-01-01
13904,Youngkon,Cairo,Senior Engineer,73885,9999-01-01
13934,Shiv,Bratsberg,Senior Engineer,46507,9999-01-01
13942,Elzbieta,Esteva,Technique Leader,40000,9999-01-01
13951,Mooi,Genther,Senior Staff,82054,9999-01-01
13960,Nechama,Hettesheimer,Senior Staff,43204,9999-01-01
13962,Maris,Ghelli,Senior Engineer,67965,9999-01-01
13966,Boguslaw,Cooman,Senior Staff,40000,9999-01-01
13969,Jianwen,Chandrasekhar,Technique Leader,60392,9999-01-01
13990,Deborah,Schapiro,Engineer,52723,9999-01-01
13992,Ulises,Kenevan,Senior Staff,81318,9999-01-01
13999,Florian,Crouzet,Senior Staff,40000,9999-01-01
14005,Vojin,Stellhorn,Technique Leader,40000,9999-01-01
14015,Manibrata,Picaronny,Senior Engineer,63084,9999-01-01
14034,Aloys,Seghrouchni,Senior Staff,69700,9999-01-01
14041,Shan,DeMori,Senior Staff,63235,9999-01-01
14067,Godehard,Trachtenberg,Senior Engineer,44669,9999-01-01
14088,Mori,Leslie,Senior Staff,44821,9999-01-01
14107,Xiahua,Rindone,Senior Staff,82396,9999-01-01
14111,Leszek,Cummings,Senior Staff,52696,9999-01-01
14118,Kasturi,Anido,Senior Staff,46248,9999-01-01
14167,Adas,Hertweck,Senior Engineer,40000,9999-01-01
14191,Jiann,Luby,Senior Engineer,40155,9999-01-01
14209,Masanao,Kusakabe,Senior Staff,40000,9999-01-01
14220,Tomofumi,Pargas,Senior Engineer,68017,9999-01-01
14232,Masali,Bojadziev,Senior Engineer,50568,9999-01-01
14236,Xuedong,Angiulli,Senior Staff,40000,9999-01-01
14237,Abdulla,Gerlach,Senior Engineer,57219,9999-01-01
14242,Sudhanshu,Benaini,Senior Staff,40000,9999-01-01
14257,Kwok,Massonet,Staff,40000,9999-01-01
14290,Miyeon,Olivero,Senior Engineer,78736,9999-01-01
14292,Susanna,Vigier,Senior Staff,41846,9999-01-01
14298,Chriss,Granlund,Senior Engineer,40000,9999-01-01
14310,Marlo,Leuchs,Senior Staff,40000,9999-01-01
